department_id,business_unit,department_type,division_description,is_deleted,created_at
1,CCDR,Production,Finance & Accounting,False,2026-09-09 19:39:37
2,EW,Production,Aerial,False,2026-09-09 19:39:37
3,PL,Sales,General - Sga,False,2026-09-09 19:39:37
4,CCDR,Sales,Finance & Accounting,False,2026-09-09 19:39:37
5,TNS,Sales,General - Con,False,2026-09-09 19:39:37
6,BPC,Sales,Field Operations,False,2026-09-09 19:39:37
7,WBL,Sales,General - Eng,False,2026-09-09 19:39:37
8,CCDR,Sales,Engineers,False,2026-09-09 19:39:37
9,NEL,Sales,Executive,False,2026-09-09 19:39:37
10,BPC,Sales,Engineers,False,2026-09-09 19:39:37
11,SVG,Sales,Field Operations,False,2026-09-09 19:39:37
12,MSC,Sales,General - Con,False,2026-09-09 19:39:37
13,EW,Sales,Splicing,False,2026-09-09 19:39:37
14,BPC,Sales,General - Con,False,2026-09-09 19:39:37
15,PYZ,IT/IS,Field Operations,False,2026-09-09 19:39:37
16,WBL,IT/IS,Project Management - Con,False,2026-09-09 19:39:37
17,NEL,Sales,Engineers,False,2026-09-09 19:39:37
18,PL,Sales,Project Management - Con,False,2026-09-09 19:39:37
19,CCDR,Sales,General - Con,False,2026-09-09 19:39:37
20,SVG,Sales,Engineers,False,2026-09-09 19:39:37
21,EW,Sales,General - Eng,False,2026-09-09 19:39:37
22,MSC,Sales,Field Operations,False,2026-09-09 19:39:37
23,PYZ,Sales,General - Con,False,2026-09-09 19:39:37
24,WBL,Sales,Fielders,False,2026-09-09 19:39:37
25,PYZ,IT/IS,General - Con,False,2026-09-09 19:39:37
26,WBL,Sales,Project Management - Eng,False,2026-09-09 19:39:37
27,NEL,Sales,Field Operations,False,2026-09-09 19:39:37
28,PL,Sales,Engineers,False,2026-09-09 19:39:37
29,SVG,Sales,Aerial,False,2026-09-09 19:39:37
30,EW,Sales,General - Con,False,2026-09-09 19:39:37
31,TNS,Sales,Field Operations,False,2026-09-09 19:39:37
32,PYZ,Sales,Shop (Fleet),False,2026-09-09 19:39:37
33,WBL,Sales,General - Con,False,2026-09-09 19:39:37
34,PYZ,IT/IS,Aerial,False,2026-09-09 19:39:37
35,NEL,Sales,Wireline Construction,False,2026-09-09 19:39:37
36,PL,Sales,Field Operations,False,2026-09-09 19:39:37
37,CCDR,Sales,Field Operations,False,2026-09-09 19:39:37
38,SVG,Sales,Project Management - Con,False,2026-09-09 19:39:37
39,EW,Sales,Shop (Fleet),False,2026-09-09 19:39:37
40,MSC,Sales,Catv,False,2026-09-09 19:39:37
41,PYZ,Sales,Fielders,False,2026-09-09 19:39:37
42,WBL,Sales,Wireline Construction,False,2026-09-09 19:39:37
43,NEL,Sales,Project Management - Con,False,2026-09-09 19:39:37
44,PL,Sales,Catv,False,2026-09-09 19:39:37
45,BPC,Sales,Wireline Construction,False,2026-09-09 19:39:37
46,CCDR,Sales,Catv,False,2026-09-09 19:39:37
47,TNS,Sales,Fielders,False,2026-09-09 19:39:37
48,BPC,Sales,General - Sga,False,2026-09-09 19:39:37
49,CCDR,Sales,Wireline Construction,False,2026-09-09 19:39:37
50,EW,Sales,Field Operations,False,2026-09-09 19:39:37
51,MSC,Sales,General - Sga,False,2026-09-09 19:39:37
52,PL,Sales,General - Con,False,2026-09-09 19:39:37
53,PYZ,Sales,Project Management - Con,False,2026-09-09 19:39:37
54,SVG,Sales,General - Con,False,2026-09-09 19:39:37
55,TNS,Sales,Wireline Construction,False,2026-09-09 19:39:37
56,WBL,Sales,General - Sga,False,2026-09-09 19:39:37
57,TNS,Sales,Project Management - Con,False,2026-09-09 19:39:37
58,PYZ,Sales,General - Sga,False,2026-09-09 19:39:37
59,WBL,Sales,Field Operations,False,2026-09-09 19:39:37
60,NEL,Sales,Shop (Fleet),False,2026-09-09 19:39:37
61,BPC,Sales,Splicing,False,2026-09-09 19:39:37
62,CCDR,Sales,Project Management - Con,False,2026-09-09 19:39:37
63,CCDR,Sales,Aerial,False,2026-09-09 19:39:37
64,WBL,Sales,Finance & Accounting,False,2026-09-09 19:39:37
65,NEL,Sales,Yard (Material Handling),False,2026-09-09 19:39:37
66,MSC,Sales,General - Eng,False,2026-09-09 19:39:37
67,TNS,Sales,Aerial,False,2026-09-09 19:39:37
68,NEL,Sales,General - Con,False,2026-09-09 19:39:37
69,PL,Sales,Aerial,False,2026-09-09 19:39:37
70,PYZ,Sales,Finance & Accounting,False,2026-09-09 19:39:37
71,WBL,Sales,Project Management - Con,False,2026-09-09 19:39:37
72,EW,IT/IS,Wireless,False,2026-09-09 19:39:37
