employee_id,course_id,training_date,completion_status,location,cost,duration_days
2,6,2026-01-21,Incomplete,Training Center,477.92,2
2,6,2026-04-13,Completed,Online,408.11,1
2,1,2025-10-31,Completed,Training Center,308.73,5
4,6,2025-08-18,Completed,Online,446.41,2
4,1,2025-06-09,Completed,Head Office,456.13,2
4,1,2025-12-02,Completed,Training Center,556.68,2
5,1,2026-01-25,Incomplete,Online,504.64,5
5,1,2026-04-04,Completed,Online,372.46,2
5,1,2026-03-09,Completed,Head Office,712.74,5
7,1,2026-07-05,Completed,Online,327.11,2
7,1,2025-12-08,Completed,Online,692.42,5
7,6,2026-03-20,Completed,Head Office,271.18,1
8,6,2026-08-07,Completed,Online,265.61,2
8,6,2026-06-06,Completed,Online,462.45,1
10,1,2026-08-08,Completed,Head Office,655.07,4
10,1,2026-02-27,Incomplete,Online,967.99,3
10,1,2025-11-15,Incomplete,Head Office,689.78,4
11,6,2025-12-08,Completed,Head Office,303.75,2
11,1,2026-08-12,Completed,Training Center,981.88,4
12,3,2025-10-06,Incomplete,Head Office,555.09,2
12,3,2026-03-19,Completed,Online,917.21,3
13,4,2026-04-05,Completed,Head Office,357.95,3
13,5,2026-08-11,Completed,Online,429.42,3
13,5,2025-11-13,Completed,Online,216.04,1
14,6,2025-10-19,Completed,Head Office,447.6,1
14,1,2026-08-06,Completed,Training Center,407.93,3
14,1,2026-05-31,Completed,Training Center,947.0,3
14,6,2026-07-22,Completed,Head Office,236.77,2
14,1,2025-11-20,Completed,Online,525.64,3
15,6,2025-09-28,Completed,Head Office,164.15,1
15,1,2025-11-02,Completed,Head Office,775.35,4
15,1,2026-06-29,Completed,Training Center,691.47,4
16,1,2025-10-06,Incomplete,Training Center,847.6,3
18,4,2026-09-03,Completed,Training Center,325.57,3
18,6,2026-01-31,Completed,Training Center,412.96,1
19,6,2025-11-10,Completed,Online,488.37,1
19,1,2025-07-27,Completed,Online,586.65,3
19,1,2025-08-14,Completed,Online,952.48,5
19,6,2025-05-08,Completed,Online,443.41,2
20,3,2026-04-19,Completed,Training Center,873.07,4
21,1,2026-05-09,Completed,Online,301.73,5
21,6,2026-08-04,Completed,Online,400.97,2
21,6,2026-01-28,Completed,Online,294.91,2
21,1,2026-04-22,Completed,Head Office,696.98,4
21,1,2026-03-01,Completed,Head Office,494.65,4
22,6,2026-09-11,Incomplete,Training Center,471.62,2
22,6,2026-08-26,Completed,Online,340.17,2
23,3,2026-07-02,Completed,Head Office,690.47,2
23,3,2026-09-22,Completed,Online,576.76,3
23,3,2026-07-28,Completed,Head Office,736.74,2
24,1,2026-05-13,Completed,Head Office,459.81,4
24,1,2026-04-30,Completed,Online,680.87,5
24,2,2026-03-08,Completed,Training Center,682.57,3
26,2,2026-03-20,Completed,Training Center,918.21,4
26,3,2026-01-06,Completed,Online,646.23,2
26,6,2026-07-14,Incomplete,Online,330.01,2
26,3,2026-05-04,Incomplete,Online,592.22,3
26,3,2026-09-16,Completed,Training Center,918.6,3
27,5,2025-06-14,Completed,Head Office,253.53,3
27,5,2025-09-19,Completed,Training Center,228.34,3
27,4,2025-06-05,Completed,Training Center,496.01,2
27,4,2025-09-03,Incomplete,Head Office,295.22,3
28,3,2026-06-25,Completed,Head Office,901.94,2
28,2,2026-01-23,Completed,Training Center,998.61,2
28,1,2026-06-24,Incomplete,Head Office,606.82,4
28,3,2026-01-08,Completed,Head Office,967.78,2
30,1,2026-05-18,Completed,Training Center,439.27,3
30,6,2026-03-07,Completed,Online,461.59,2
30,6,2026-06-06,Completed,Head Office,205.91,2
30,2,2026-03-31,Completed,Training Center,670.55,2
30,2,2026-04-22,Completed,Head Office,931.1,2
30,6,2026-07-02,Completed,Training Center,487.8,1
31,6,2026-01-20,Completed,Online,171.63,2
31,1,2026-02-07,Completed,Online,493.6,4
32,3,2025-11-06,Completed,Head Office,525.9,4
32,3,2026-06-28,Completed,Training Center,929.59,2
32,3,2026-09-05,Completed,Training Center,601.57,5
33,1,2025-03-09,Completed,Head Office,915.63,3
33,1,2025-02-02,Incomplete,Training Center,923.01,2
33,1,2025-07-19,Completed,Online,390.01,2
33,1,2024-12-23,Completed,Online,727.58,4
33,1,2025-03-02,Completed,Head Office,525.42,5
35,4,2026-01-12,Completed,Training Center,468.93,1
35,5,2025-11-27,Completed,Training Center,147.28,1
36,5,2026-02-08,Completed,Head Office,290.71,3
36,6,2025-10-10,Completed,Head Office,413.18,2
36,5,2026-01-07,Completed,Training Center,112.39,1
36,4,2026-03-01,Completed,Online,442.15,2
38,3,2025-10-25,Completed,Training Center,835.05,5
38,2,2026-03-05,Completed,Training Center,995.35,4
39,6,2026-08-16,Completed,Head Office,405.59,1
39,4,2026-07-15,Completed,Training Center,357.47,2
39,4,2025-11-19,Completed,Online,499.68,3
40,5,2026-09-12,Completed,Training Center,568.14,3
40,4,2026-03-08,Completed,Online,183.65,3
40,5,2026-09-16,Completed,Head Office,320.61,3
40,5,2026-03-14,Completed,Training Center,355.38,1
40,6,2025-10-28,Completed,Head Office,258.35,2
41,1,2026-08-05,Completed,Training Center,615.52,2
41,1,2026-06-27,Completed,Online,494.7,3
41,4,2025-12-21,Incomplete,Training Center,263.46,2
41,1,2025-10-28,Completed,Online,658.79,5
41,1,2025-12-16,Completed,Online,957.91,3
42,4,2026-07-28,Completed,Online,345.65,3
42,4,2026-03-25,Completed,Training Center,580.92,2
42,4,2025-09-12,Incomplete,Online,362.41,1
42,4,2025-10-22,Completed,Head Office,274.5,2
42,5,2026-04-23,Completed,Training Center,176.76,1
42,5,2025-09-24,Completed,Online,489.18,2
45,1,2025-06-10,Completed,Training Center,518.67,2
45,1,2025-04-19,Completed,Training Center,766.27,5
46,2,2026-05-13,Completed,Head Office,482.53,3
46,6,2025-12-15,Completed,Training Center,286.59,2
46,1,2026-03-01,Completed,Head Office,837.96,5
47,5,2025-08-11,Completed,Online,461.47,2
47,5,2026-01-17,Completed,Head Office,412.18,3
49,5,2026-02-27,Completed,Online,335.09,1
49,5,2026-01-09,Completed,Head Office,497.51,1
49,5,2026-02-03,Completed,Head Office,426.31,1
51,2,2026-05-05,Completed,Online,823.27,4
51,1,2025-10-22,Completed,Training Center,494.39,5
51,1,2026-02-06,Completed,Training Center,863.0,2
52,5,2026-05-29,Completed,Head Office,334.98,3
52,4,2025-10-06,Completed,Training Center,262.06,3
52,4,2025-09-27,Completed,Training Center,333.52,1
53,1,2026-02-08,Completed,Head Office,999.33,2
53,1,2025-12-10,Incomplete,Training Center,313.99,5
53,6,2026-02-25,Incomplete,Online,312.27,2
54,4,2025-12-17,Incomplete,Training Center,524.7,3
54,1,2026-08-31,Completed,Head Office,661.1,4
54,1,2026-07-29,Completed,Head Office,517.74,2
54,1,2026-02-19,Completed,Online,867.2,2
54,6,2025-12-20,Completed,Online,383.97,1
54,4,2026-07-19,Completed,Head Office,355.65,3
55,1,2026-06-01,Completed,Head Office,577.14,2
55,1,2025-11-28,Completed,Online,601.35,4
57,1,2026-08-07,Completed,Head Office,946.06,2
57,6,2025-12-10,Completed,Head Office,198.6,2
60,2,2026-05-22,Completed,Online,706.1,4
60,5,2025-10-09,Completed,Online,424.55,2
61,1,2026-07-14,Completed,Training Center,429.96,5
62,4,2025-12-04,Completed,Training Center,204.88,3
62,5,2026-08-08,Completed,Head Office,312.71,2
62,2,2026-09-11,Completed,Training Center,756.0,2
62,2,2025-11-13,Completed,Head Office,637.58,3
63,1,2026-01-19,Completed,Head Office,541.41,3
63,1,2026-02-27,Completed,Online,602.46,2
64,4,2024-11-25,Completed,Head Office,198.49,2
64,1,2025-05-20,Completed,Training Center,397.58,4
65,6,2025-06-25,Completed,Online,353.44,1
65,1,2024-12-30,Completed,Online,454.09,2
65,4,2025-06-15,Incomplete,Head Office,311.54,3
68,5,2026-07-29,Completed,Training Center,107.06,3
68,5,2025-10-30,Completed,Training Center,458.05,1
70,5,2026-09-05,Completed,Head Office,369.2,2
70,5,2025-12-02,Completed,Online,406.11,1
70,5,2026-09-24,Incomplete,Training Center,121.5,2
72,4,2026-04-20,Completed,Head Office,143.87,2
72,4,2026-08-18,Completed,Training Center,257.44,2
73,2,2026-08-21,Incomplete,Online,797.75,3
74,5,2026-05-20,Completed,Head Office,277.53,3
74,4,2026-05-17,Completed,Training Center,256.66,2
74,2,2026-04-08,Completed,Online,665.43,3
75,1,2026-06-28,Incomplete,Head Office,481.86,3
75,1,2026-01-28,Completed,Training Center,802.26,3
75,6,2026-09-07,Completed,Online,439.87,1
76,4,2025-12-02,Incomplete,Training Center,297.56,2
76,4,2026-07-15,Completed,Head Office,393.07,1
76,1,2025-11-14,Completed,Head Office,786.65,5
77,6,2026-08-24,Completed,Online,296.88,2
77,6,2025-10-31,Completed,Training Center,377.22,1
78,6,2026-04-23,Completed,Training Center,245.97,1
78,3,2025-11-03,Completed,Training Center,961.61,3
78,3,2026-04-10,Completed,Head Office,550.48,2
79,6,2026-04-23,Completed,Head Office,226.75,1
79,6,2026-01-21,Completed,Online,466.82,2
80,3,2026-04-29,Completed,Online,652.92,3
80,3,2026-08-23,Completed,Training Center,957.66,4
81,5,2026-01-18,Completed,Training Center,485.41,2
81,4,2026-03-27,Completed,Head Office,532.59,2
81,5,2026-04-04,Incomplete,Online,499.11,2
83,5,2026-08-15,Incomplete,Online,359.39,1
83,5,2026-04-18,Incomplete,Head Office,465.57,3
84,3,2026-05-12,Completed,Training Center,510.18,4
84,3,2025-10-24,Completed,Head Office,897.85,4
85,6,2026-02-15,Completed,Training Center,316.05,1
85,6,2025-10-17,Completed,Training Center,302.28,1
85,6,2026-02-24,Completed,Training Center,315.89,1
86,6,2025-10-15,Incomplete,Training Center,174.88,2
86,1,2026-03-09,Completed,Online,902.0,3
88,1,2025-11-24,Completed,Online,313.58,5
88,1,2026-02-20,Completed,Head Office,794.79,5
91,2,2025-12-27,Completed,Training Center,733.34,3
91,2,2026-05-07,Completed,Head Office,835.45,4
94,1,2026-08-13,Completed,Head Office,943.16,5
94,1,2026-07-17,Completed,Training Center,645.27,2
94,1,2026-02-23,Completed,Head Office,885.12,5
95,1,2026-01-06,Completed,Training Center,422.5,5
95,1,2026-06-02,Completed,Training Center,374.07,2
95,6,2026-05-08,Completed,Training Center,171.57,1
95,1,2026-06-24,Completed,Training Center,549.68,2
96,1,2026-03-09,Completed,Training Center,775.29,2
96,1,2025-12-04,Completed,Head Office,427.21,3
96,1,2025-10-01,Completed,Head Office,910.93,2
97,6,2026-08-16,Completed,Training Center,239.52,2
97,1,2026-09-17,Completed,Online,347.01,5
97,1,2026-03-22,Completed,Online,675.9,4
98,3,2026-05-23,Completed,Training Center,754.4,3
98,3,2026-02-26,Completed,Training Center,510.39,5
100,4,2025-12-06,Completed,Training Center,193.38,1
100,5,2025-10-01,Completed,Head Office,115.24,2
101,1,2026-08-14,Completed,Online,921.38,5
101,3,2026-08-17,Completed,Head Office,755.91,3
101,2,2026-08-10,Completed,Training Center,998.95,4
102,3,2025-11-11,Completed,Head Office,605.8,5
102,3,2025-10-11,Completed,Head Office,850.01,3
102,3,2026-09-17,Completed,Online,564.88,2
103,4,2026-08-19,Incomplete,Head Office,597.14,1
103,6,2025-12-06,Completed,Training Center,176.22,2
104,6,2026-04-29,Completed,Training Center,356.25,1
105,1,2026-01-13,Completed,Head Office,799.7,2
105,1,2026-09-25,Completed,Training Center,687.46,2
105,1,2026-07-04,Completed,Head Office,664.25,5
106,5,2026-07-14,Completed,Training Center,409.84,1
106,2,2026-07-19,Completed,Head Office,638.17,3
106,4,2026-07-23,Completed,Head Office,200.78,1
106,4,2026-01-21,Completed,Training Center,520.03,1
107,1,2026-08-27,Incomplete,Training Center,631.84,2
107,2,2026-05-31,Completed,Training Center,414.97,4
107,6,2026-03-31,Completed,Training Center,348.99,1
110,6,2026-04-10,Incomplete,Head Office,418.11,1
110,6,2026-08-12,Completed,Online,173.92,1
112,3,2026-04-27,Incomplete,Training Center,845.78,5
112,6,2026-09-08,Completed,Online,234.97,2
112,6,2026-08-31,Incomplete,Online,410.65,2
113,5,2026-01-01,Completed,Online,315.98,1
113,5,2026-08-20,Completed,Training Center,182.82,3
113,5,2026-05-24,Completed,Head Office,548.14,1
116,1,2026-09-10,Completed,Online,457.55,2
116,4,2026-03-17,Incomplete,Online,177.12,1
116,6,2025-11-18,Completed,Online,416.1,1
116,6,2026-04-03,Completed,Online,213.12,1
117,6,2026-01-25,Completed,Training Center,429.3,2
117,5,2026-06-25,Completed,Head Office,397.77,2
117,4,2026-03-18,Completed,Online,181.71,2
118,5,2025-05-18,Completed,Training Center,228.51,1
118,4,2025-12-17,Completed,Online,101.12,3
118,5,2025-07-08,Completed,Online,214.22,2
119,6,2025-12-27,Completed,Online,198.34,1
119,5,2025-12-21,Completed,Head Office,515.68,3
119,5,2026-06-25,Completed,Online,514.37,2
120,5,2025-12-21,Completed,Online,257.34,1
120,2,2026-05-30,Completed,Head Office,674.84,4
121,5,2026-02-12,Completed,Head Office,521.12,1
121,2,2026-05-04,Completed,Online,716.79,2
121,5,2026-01-26,Completed,Training Center,512.25,1
121,5,2026-05-22,Completed,Online,584.68,2
124,5,2025-11-28,Completed,Online,595.95,2
124,5,2025-10-30,Completed,Head Office,423.95,1
124,5,2025-10-10,Completed,Online,218.92,2
124,4,2026-02-27,Completed,Head Office,417.96,3
124,5,2026-07-11,Completed,Online,487.92,1
126,3,2026-07-02,Completed,Training Center,762.46,5
126,1,2026-08-02,Completed,Training Center,550.32,3
126,3,2025-10-04,Completed,Online,885.28,3
126,3,2025-10-02,Completed,Head Office,565.32,3
126,3,2026-07-12,Completed,Online,878.15,2
128,4,2026-01-21,Completed,Head Office,161.01,3
128,5,2025-12-18,Completed,Training Center,249.27,2
129,5,2026-07-01,Completed,Online,486.69,2
129,2,2026-02-22,Completed,Head Office,834.52,4
129,5,2026-06-01,Completed,Head Office,258.56,3
131,4,2026-08-04,Completed,Online,145.03,1
132,4,2026-05-27,Completed,Training Center,124.33,2
132,1,2026-02-23,Completed,Head Office,548.86,4
132,4,2026-01-04,Completed,Training Center,241.88,3
133,4,2025-06-01,Completed,Head Office,437.87,2
133,6,2025-03-11,Completed,Online,158.57,2
133,6,2025-08-03,Completed,Head Office,245.98,2
134,1,2026-07-19,Completed,Head Office,326.01,5
134,6,2026-08-28,Completed,Online,456.72,2
137,1,2025-05-13,Completed,Head Office,874.96,2
137,1,2026-01-13,Completed,Online,774.53,4
137,4,2025-12-28,Incomplete,Head Office,484.53,3
137,1,2025-08-17,Completed,Head Office,918.49,5
137,1,2025-06-08,Completed,Training Center,447.94,2
138,2,2026-08-09,Completed,Online,598.88,2
138,6,2026-02-18,Incomplete,Online,378.09,2
138,6,2026-06-25,Completed,Training Center,226.23,2
139,4,2025-11-03,Completed,Online,437.59,1
139,5,2026-07-18,Completed,Training Center,168.01,2
140,3,2026-04-14,Completed,Training Center,969.31,2
140,2,2026-08-28,Completed,Head Office,773.71,2
140,3,2026-08-02,Completed,Training Center,636.47,3
141,3,2026-05-11,Completed,Training Center,824.26,5
142,5,2025-08-17,Completed,Training Center,210.46,1
143,1,2025-11-10,Completed,Training Center,327.27,3
143,2,2026-01-03,Incomplete,Training Center,586.0,2
144,1,2026-01-06,Completed,Head Office,388.37,4
144,1,2025-12-12,Completed,Online,375.16,5
144,6,2026-03-29,Completed,Training Center,470.75,1
144,1,2026-03-31,Completed,Training Center,867.63,3
144,1,2026-03-10,Completed,Head Office,410.26,3
145,5,2026-01-15,Completed,Training Center,171.14,2
147,1,2025-04-19,Completed,Training Center,912.24,4
147,1,2025-10-31,Completed,Online,997.84,4
147,1,2024-11-29,Completed,Training Center,899.6,5
148,3,2026-06-18,Completed,Online,927.26,4
148,3,2026-02-12,Completed,Head Office,739.25,2
148,2,2026-04-05,Incomplete,Head Office,605.39,3
150,1,2025-12-29,Completed,Training Center,360.51,4
150,1,2026-03-01,Completed,Online,472.15,5
151,6,2026-03-04,Completed,Head Office,217.83,2
151,6,2026-01-29,Completed,Online,306.38,1
151,1,2026-06-25,Completed,Training Center,349.11,5
152,4,2026-01-26,Completed,Training Center,305.01,2
152,5,2026-02-20,Completed,Head Office,218.34,3
152,4,2026-08-23,Completed,Training Center,165.6,1
153,2,2026-04-28,Completed,Training Center,867.48,3
153,3,2026-01-08,Completed,Online,808.56,3
153,4,2026-08-27,Completed,Training Center,364.9,1
153,3,2026-02-05,Incomplete,Training Center,707.56,4
153,4,2026-02-20,Incomplete,Training Center,350.83,3
153,4,2026-03-28,Completed,Training Center,236.24,2
154,4,2025-10-27,Completed,Online,454.71,1
154,5,2026-05-19,Completed,Training Center,103.03,2
154,5,2026-03-23,Completed,Online,237.83,3
154,5,2026-05-23,Incomplete,Head Office,392.65,3
154,2,2026-09-07,Completed,Head Office,849.76,3
154,4,2025-11-14,Completed,Head Office,237.11,1
155,4,2026-03-28,Completed,Training Center,193.77,2
155,4,2026-03-19,Completed,Online,204.36,2
158,3,2026-01-19,Completed,Online,864.84,2
158,2,2026-02-22,Completed,Online,710.5,3
158,2,2026-08-07,Incomplete,Online,656.82,2
159,1,2025-10-01,Completed,Head Office,686.67,4
159,6,2026-03-09,Completed,Training Center,396.41,2
160,5,2026-02-23,Completed,Head Office,493.41,2
160,2,2025-12-02,Completed,Online,809.37,3
161,1,2026-01-01,Completed,Head Office,307.53,2
161,1,2026-01-31,Completed,Training Center,597.49,4
162,3,2026-01-04,Completed,Training Center,568.95,3
162,2,2026-03-01,Completed,Training Center,521.01,3
162,2,2026-06-19,Completed,Head Office,969.74,2
162,3,2026-06-03,Completed,Online,639.36,5
162,1,2026-03-29,Completed,Head Office,763.55,5
163,5,2025-10-24,Completed,Training Center,321.26,3
163,5,2025-11-06,Completed,Online,392.24,3
163,5,2025-07-04,Completed,Online,440.22,1
164,1,2026-02-14,Completed,Head Office,721.87,4
164,1,2026-06-08,Completed,Head Office,376.34,2
164,1,2026-06-06,Incomplete,Training Center,496.37,2
165,5,2025-11-10,Completed,Training Center,340.45,1
165,5,2025-07-23,Incomplete,Head Office,349.41,3
165,5,2026-03-25,Completed,Training Center,455.08,3
167,4,2026-06-22,Completed,Training Center,208.36,3
167,5,2026-06-09,Completed,Online,570.59,3
169,6,2026-01-22,Completed,Training Center,472.14,2
169,1,2026-09-22,Completed,Online,493.03,4
170,6,2026-08-13,Completed,Head Office,319.74,1
170,3,2026-02-05,Completed,Training Center,814.89,4
171,1,2026-07-10,Completed,Online,554.66,2
171,6,2026-09-19,Completed,Online,450.42,1
174,4,2025-10-15,Incomplete,Head Office,500.34,2
174,4,2026-03-18,Completed,Head Office,445.57,2
174,4,2025-12-18,Completed,Head Office,213.89,3
175,5,2025-03-27,Completed,Head Office,280.45,3
175,5,2025-07-08,Completed,Training Center,221.85,2
176,5,2026-01-29,Completed,Training Center,259.13,2
176,4,2025-10-07,Completed,Head Office,258.52,1
177,3,2026-08-27,Completed,Online,732.55,4
177,6,2025-12-11,Incomplete,Training Center,228.38,2
177,4,2026-07-14,Completed,Training Center,266.4,2
179,6,2025-07-30,Incomplete,Training Center,152.41,1
179,2,2025-03-18,Completed,Head Office,757.3,2
182,5,2025-12-16,Completed,Head Office,407.62,2
183,5,2026-04-03,Completed,Online,183.32,3
183,5,2025-10-12,Completed,Head Office,450.94,2
183,5,2025-12-09,Completed,Training Center,202.18,3
184,4,2026-06-18,Completed,Head Office,343.35,2
184,6,2026-09-11,Incomplete,Online,443.98,2
190,6,2025-12-15,Completed,Training Center,302.21,2
190,1,2025-10-22,Completed,Online,305.22,5
192,1,2026-08-02,Completed,Training Center,438.72,4
192,2,2026-07-03,Incomplete,Training Center,857.79,2
193,1,2025-12-22,Completed,Online,472.05,3
193,2,2026-05-02,Completed,Training Center,495.47,3
194,1,2026-09-18,Completed,Online,384.2,4
194,6,2026-04-14,Completed,Training Center,342.37,2
194,1,2026-05-03,Completed,Head Office,511.44,2
194,1,2025-12-11,Completed,Head Office,736.5,2
195,5,2026-02-03,Completed,Online,271.82,1
195,5,2026-09-04,Incomplete,Online,211.66,2
197,1,2026-03-23,Completed,Head Office,422.12,4
197,6,2026-03-03,Completed,Online,476.58,1
197,6,2026-02-23,Completed,Head Office,251.66,2
198,1,2025-10-02,Completed,Head Office,555.05,2
198,6,2026-09-24,Completed,Head Office,439.77,2
198,4,2025-12-19,Completed,Online,111.4,3
199,4,2026-05-08,Completed,Head Office,244.04,1
199,3,2026-06-03,Completed,Head Office,806.07,5
200,4,2026-06-27,Completed,Training Center,400.73,3
200,6,2026-09-07,Completed,Training Center,367.92,2
201,1,2026-01-15,Completed,Head Office,329.3,4
201,1,2025-11-10,Incomplete,Training Center,983.61,2
201,1,2026-01-13,Completed,Training Center,912.15,3
202,1,2026-04-05,Completed,Training Center,459.17,3
202,6,2026-07-30,Completed,Online,475.3,1
204,5,2026-01-21,Incomplete,Head Office,341.67,2
204,5,2026-08-18,Completed,Training Center,336.97,1
204,5,2025-11-02,Completed,Training Center,262.38,2
205,5,2026-04-29,Completed,Head Office,569.76,3
205,5,2026-08-08,Completed,Online,466.75,2
205,4,2026-02-06,Completed,Head Office,458.22,1
206,6,2026-06-11,Completed,Head Office,211.04,2
206,1,2025-10-13,Completed,Training Center,669.82,4
207,4,2026-04-15,Completed,Online,436.95,2
