employee_id,leave_type,start_date,end_date,reason,status,decided_by,decided_at,created_at
1,ANNUAL,2025-11-10,2025-11-11,,APPROVED,adam.roberts@nexuserp.com,2025-11-02 00:00:00,2025-10-02 00:00:00
1,ANNUAL,2026-07-21,2026-07-26,,APPROVED,adam.roberts@nexuserp.com,2026-07-09 00:00:00,2026-06-29 00:00:00
2,SICK,2025-10-13,2025-10-13,,APPROVED,sara.dubois@nexuserp.com,2025-10-01 00:00:00,2025-09-13 00:00:00
2,ANNUAL,2026-09-03,2026-09-12,,APPROVED,sara.dubois@nexuserp.com,2026-08-30 00:00:00,2026-08-12 00:00:00
4,SICK,2025-08-26,2025-08-27,,APPROVED,lucas.laurent@nexuserp.com,2025-08-17 00:00:00,2025-07-26 00:00:00
5,ANNUAL,2025-10-24,2025-10-26,,APPROVED,sara.khalil@nexuserp.com,2025-10-13 00:00:00,2025-10-04 00:00:00
8,OTHER,2025-11-26,2025-11-30,,APPROVED,sharon.muller@nexuserp.com,2025-11-22 00:00:00,2025-10-21 00:00:00
8,ANNUAL,2026-07-26,2026-08-03,,APPROVED,sharon.muller@nexuserp.com,2026-07-08 00:00:00,2026-06-24 00:00:00
10,ANNUAL,2026-07-17,2026-07-24,,APPROVED,lea.moreau@nexuserp.com,2026-07-06 00:00:00,2026-06-12 00:00:00
10,SICK,2026-06-08,2026-06-10,,APPROVED,lea.moreau@nexuserp.com,2026-06-02 00:00:00,2026-05-05 00:00:00
11,SICK,2026-03-07,2026-03-07,,REJECTED,karen.lee@nexuserp.com,2026-03-02 00:00:00,2026-02-09 00:00:00
13,ANNUAL,2025-11-19,2025-11-21,,APPROVED,susan.muller@nexuserp.com,2025-11-16 00:00:00,2025-10-23 00:00:00
15,ANNUAL,2026-03-03,2026-03-08,,REJECTED,lucas.laurent@nexuserp.com,2026-02-23 00:00:00,2026-02-02 00:00:00
16,SICK,2026-07-23,2026-07-24,,REJECTED,sara.dubois@nexuserp.com,2026-07-09 00:00:00,2026-06-24 00:00:00
16,UNPAID,2025-10-11,2025-10-12,,APPROVED,sara.dubois@nexuserp.com,2025-10-04 00:00:00,2025-09-12 00:00:00
18,ANNUAL,2026-01-11,2026-01-15,,APPROVED,rayan.flores@nexuserp.com,2025-12-30 00:00:00,2025-12-08 00:00:00
19,ANNUAL,2025-09-14,2025-09-19,,APPROVED,luca.wang@nexuserp.com,2025-09-01 00:00:00,2025-08-19 00:00:00
20,UNPAID,2026-06-28,2026-06-29,,APPROVED,cynthia.lewis2@nexuserp.com,2026-06-25 00:00:00,2026-05-29 00:00:00
20,ANNUAL,2026-09-03,2026-09-06,,APPROVED,cynthia.lewis2@nexuserp.com,2026-08-17 00:00:00,2026-08-01 00:00:00
21,ANNUAL,2026-10-27,2026-10-30,,PENDING,,,2026-09-23 00:00:00
22,ANNUAL,2026-05-03,2026-05-07,,APPROVED,luca.wang@nexuserp.com,2026-04-24 00:00:00,2026-03-31 00:00:00
