employee_id,training_date,training_program_name,training_type,training_outcome,location,trainer,training_duration_days,training_cost
1001,2022-09-21,Customer Service,Internal,Failed,Port Greg,Amanda Daniels,4,510.83
1002,2023-07-19,Leadership Development,Internal,Failed,Brandonview,Brittany Chambers,2,582.37
1003,2023-02-24,Technical Skills,Internal,Incomplete,Port Briannahaven,Mark Roberson,4,777.06
1004,2023-01-12,Customer Service,Internal,Completed,Knightborough,Richard Fisher,2,824.3
1005,2023-05-12,Communication Skills,External,Passed,Bruceshire,Heather Shaffer,4,145.99
1006,2023-05-08,Project Management,Internal,Failed,Erinfort,Michael Duke,2,838.07
1007,2023-05-14,Leadership Development,External,Failed,New Christopher,Virginia Clayton DVM,2,667.32
1008,2023-08-02,Technical Skills,External,Incomplete,Lowemouth,Erica Maxwell,2,758.18
1009,2022-08-21,Customer Service,Internal,Incomplete,Johnland,Katelyn Hartman,2,101.21
1010,2022-08-19,Communication Skills,External,Incomplete,Lake Kimfurt,Rhonda Clark,5,332.25
1011,2022-11-06,Communication Skills,Internal,Completed,Smithshire,Natalie Fields,1,803.98
1012,2023-03-28,Technical Skills,External,Failed,Howardburgh,Theresa Martinez,3,887.08
1013,2023-04-08,Project Management,External,Incomplete,East Jessicatown,Michael Marks,2,657.85
1014,2023-02-21,Customer Service,External,Incomplete,Watersview,Rachel Jones,2,895.49
1015,2023-05-13,Leadership Development,External,Passed,Port Ninaland,Jennifer Olson,1,539.0
1016,2023-04-30,Communication Skills,External,Completed,Lake Stuartfurt,Eric Johnson,2,606.68
1017,2022-11-14,Technical Skills,External,Passed,Cooleybury,Joseph Mcintyre,3,265.73
1018,2023-03-25,Project Management,Internal,Incomplete,Larsonborough,Whitney Morgan DVM,2,673.29
1019,2022-10-26,Project Management,External,Passed,Powellland,Jon Garcia,5,436.98
1020,2022-12-30,Technical Skills,External,Passed,Chadport,Nicole Taylor,4,578.58
1021,2023-03-10,Technical Skills,Internal,Failed,Patrickhaven,Crystal Nelson,1,647.16
