table,rule,rows_affected,description
resumes,too_short_dropped,1,Resume text shorter than 200 characters (nothing to analyse) -> dropped
employees,generated_from_ibm,1470,237 leavers (exit in the last 12 months) and 1233 active employees
departments,teams_built,98,98 teams from 3 departments and 9 job roles
employees,manager_hierarchy,1470,"CEO 374, 3 department heads, 86 teams with a leader"
users,generated,1470,"One account per employee, roles: {'ROLE_EMPLOYEE': 1269, 'ROLE_MANAGER': 169, 'ROLE_HR_MANAGER': 29, 'ROLE_ADMIN': 3}"
salary_history,generated,2896,"Hire salary = current salary before the last raise (IBM PercentSalaryHike), then the annual review"
employee_trainings,generated,4115,Number of sessions per employee = IBM TrainingTimesLastYear; course / cost / date generated
surveys,generated,1470,"Engagement = JobInvolvement, satisfaction = JobSatisfaction, work-life = WorkLifeBalance (1-4 rescaled to 1-5)"
performance_reviews,generated,1467,"Rating = IBM PerformanceRating; comment from involvement, trainings, promotions, overtime"
leave_requests,generated,2255,Generated leave history; 44 requests pending approval
job_postings,generated,42,One opening per ~6 leavers of a role (13 already filled)
applicants,generated,802,"Real resumes; 510 in a related field, 292 unrelated"
job_applications,generated,802,"Statuses: {'REJECTED': 398, 'APPLIED': 209, 'IN REVIEW': 132, 'INTERVIEWING': 50, 'OFFERED': 13}"
